PIN2,HOUSE_UNIT,PROPERTY_TYPE
9364191081004,1,2
9364191091029,1,2
9364250521022,1,2
9364250531005,1,2
10253000080000,1,1
10253000090000,1,1
10253000150000,1,1
10253000180000,1,1
10253000190000,1,1
10253000250000,1,1
10253000260000,1,1
10253000270000,1,1
10253000280000,1,1
10253000290000,1,1
10253000300000,1,1
10253000310000,1,1
10253000320000,1,1
10253000330000,1,1
10253000340000,1,1
10253000350000,1,1
10253000390000,1,1
10253000400000,1,1
10253000410000,1,1
10253000420000,1,1
10253000430000,1,1
10253000440000,0,5
10253000450000,0,5
10253000460000,1,1
10253000470000,1,1
10253000480000,1,1
10253000490000,1,1
10253000520000,1,1
10253000530000,1,1
10253000540000,1,1
10253000550000,1,1
10253000560000,1,1
10253000570000,1,1
10253010040000,1,1
10253010090000,1,1
10253010220000,1,1
10253010230000,1,1
10253010240000,1,1
10253010250000,1,1
10253010280000,1,1
10253010290000,1,1
10253010300000,1,1
10253010310000,1,1
10253010320000,1,1
10253010330000,1,1
10253010340000,1,1
10253010350000,1,1
10253010360000,1,1
10253010370000,1,1
10253010380000,1,1
10253010390000,1,1
10253010400000,1,1
10253010410000,1,1
10253010420000,1,1
10253010430000,1,1
10253010440000,1,1
10253010450000,1,1
10253010460000,1,1
10253010470000,1,1
10253010480000,1,1
10253010500000,1,1
10253010510000,1,1
10253010520000,1,1
10253010530000,1,1
10253010540000,1,1
10253010550000,1,1
10253010570000,1,1
10253010580000,1,1
10253010590000,1,1
10253020100000,1,1
10253020110000,1,1
10253020220000,1,1
10253020230000,1,1
10253020240000,1,1
10253020250000,1,1
10253020260000,1,1
10253020270000,1,1
10253020280000,1,1
10253020290000,1,1
10253020300000,1,1
10253020310000,1,1
10253020320000,1,1
10253020330000,1,1
10253020340000,1,1
10253020350000,1,1
10253020360000,1,1
10253020370000,1,1
10253020380000,1,1
10253020390000,1,1
10253020400000,1,1
10253020430000,1,1
10253020440000,1,1
10253020450000,1,1
10253020460000,1,1
10253020470000,1,1
